GENE_NAME	ANNOT
NEFHP1	-
NEFL	axon transport of mitochondrion;neurofilament bundle assembly;intermediate filament organization;synaptic transmission;anterograde axon cargo transport;retrograde axon cargo transport
NEFM	-
NEFMP1	-
NEGR1	cell adhesion
NEIL1	nucleotide-excision repair;response to oxidative stress;negative regulation of nuclease activity;base-excision repair
NEIL2	base-excision repair;nucleotide-excision repair
NEIL3	base-excision repair;nucleotide-excision repair
NEK1	cell division;protein phosphorylation;cell cycle;mitosis;cell projection organization;cilium assembly
NEK10	-
NEK11	protein phosphorylation;cell cycle;intracellular protein kinase cascade;G2/M transition DNA damage checkpoint;intra-S DNA damage checkpoint
NEK2	meiosis;mitotic sister chromatid segregation;negative regulation of DNA binding;G2/M transition of mitotic cell cycle;regulation of mitotic centrosome separation;mitotic cell cycle;protein autophosphorylation;protein phosphorylation;spindle assembly;chromosome segregation;centrosome separation;mitosis;cell division;regulation of mitosis;regulation of attachment of spindle microtubules to kinetochore
NEK3	protein phosphorylation;cell cycle;mitosis;cell division
NEK4	cell division;protein phosphorylation;cell cycle;mitosis
NEK4P2	-
NEK5	-
NEK6	cell cycle;positive regulation of I-kappaB kinase/NF-kappaB cascade;chromosome segregation;protein autophosphorylation;mitosis;spindle assembly;signal transduction;regulation of cellular senescence;regulation of mitotic cell cycle;cytokinesis;peptidyl-serine phosphorylation;protein phosphorylation;regulation of mitotic metaphase/anaphase transition;apoptotic process;G2/M transition DNA damage checkpoint
NEK7	cytokinesis;protein phosphorylation;regulation of mitotic cell cycle;spindle assembly
NEK8	-
NEK9	cell cycle;mitosis;cell division
NELFA	-
NELFB	-
NELFCD	-
NELFE	-
NELL1	induction of apoptosis;cell adhesion;nervous system development;regulation of osteoblast differentiation;positive regulation of ossification
NELL2	cell adhesion;regulation of growth
NEMF	nuclear export
NEMP1	-
NEMP2	-
NENF	positive regulation of MAPK cascade
NEO1	muscle cell differentiation;positive regulation of muscle cell differentiation;cell adhesion;axon guidance
NES	G2/M transition of mitotic cell cycle;response to drug;multicellular organismal development;negative regulation of apoptotic process;central nervous system development;cell projection morphogenesis;brain development;stem cell proliferation;response to ionizing radiation;positive regulation of neural precursor cell proliferation;positive regulation of intermediate filament depolymerization;embryonic camera-type eye development;response to nutrient levels
NET1	small GTPase mediated signal transduction;cellular response to ionizing radiation;induction of apoptosis by extracellular signals;positive regulation of Rho GTPase activity;regulation of Rho protein signal transduction;positive regulation of apoptotic process;regulation of cell growth;nerve growth factor receptor signaling pathway;apoptotic process;regulation of small GTPase mediated signal transduction;signal transduction;cellular response to hydrogen peroxide
NETO1	visual learning;regulation of long-term neuronal synaptic plasticity;memory
NETO2	-
NEU1	sphingolipid metabolic process;glycosphingolipid metabolic process;small molecule metabolic process
NEU3	carbohydrate metabolic process;sphingolipid metabolic process;glycosphingolipid metabolic process;ganglioside catabolic process;small molecule metabolic process
NEU4	sphingolipid metabolic process;glycosphingolipid metabolic process;small molecule metabolic process
NEURL1	sperm motility;sperm axoneme assembly;nervous system development;lactation;response to external stimulus
NEURL1B	-
NEURL2	intracellular signal transduction;sarcomere organization
NEURL3	-
NEURL4	-
NEUROD2	protein ubiquitination;cellular response to electrical stimulus;cerebellar cortex development;cellular response to calcium ion;cell differentiation;positive regulation of synapse maturation;behavioral fear response;positive regulation of synaptic plasticity;negative regulation of synapse maturation;regulation of transcription from RNA polymerase II promoter;positive regulation of neuron differentiation;multicellular organismal development;neuron development;nervous system development;positive regulation of calcium-mediated signaling;associative learning;positive regulation of sequence-specific DNA binding transcription factor activity
NEUROG1	positive regulation of exit from mitosis;inner ear morphogenesis;cell fate commitment;positive regulation of neuron differentiation;regulation of transcription from RNA polymerase II promoter;positive regulation of transcription from RNA polymerase II promoter;multicellular organismal development;positive regulation of sequence-specific DNA binding transcription factor activity;nervous system development;neurogenesis
NEUROG2	"cell fate commitment;neuron migration;positive regulation of neuron differentiation;regulation of transcription, DNA-dependent;positive regulation of transcription from RNA polymerase II promoter;multicellular organismal development;positive regulation of sequence-specific DNA binding transcription factor activity;axon guidance;central nervous system neuron development;neurogenesis;forebrain development"
NEXN	regulation of cell migration;regulation of cytoskeleton organization
NEXN-AS1	-
NF1	"metanephros development;cell communication;visual learning;myelination in peripheral nervous system;positive regulation of Ras GTPase activity;positive regulation of neuron apoptosis;negative regulation of neurotransmitter secretion;artery morphogenesis;response to hypoxia;signal transduction;Schwann cell development;actin cytoskeleton organization;negative regulation of Rac protein signal transduction;regulation of blood vessel endothelial cell migration;negative regulation of fibroblast proliferation;forebrain morphogenesis;liver development;Ras protein signal transduction;phosphatidylinositol 3-kinase cascade;extracellular matrix organization;wound healing;regulation of bone resorption;regulation of long-term neuronal synaptic plasticity;cognition;negative regulation of endothelial cell proliferation;negative regulation of neuroblast proliferation;negative regulation of angiogenesis;collagen fibril organization;negative regulation of transcription factor import into nucleus;negative regulation of osteoclast differentiation;sympathetic nervous system development;regulation of small GTPase mediated signal transduction;positive regulation of endothelial cell proliferation;brain development;spinal cord development;adrenal gland development;positive regulation of apoptotic process;regulation of glial cell differentiation;camera-type eye morphogenesis;regulation of cell-matrix adhesion;peripheral nervous system development;forebrain astrocyte development;negative regulation of cell migration;negative regulation of MAP kinase activity;positive regulation of adenylate cyclase activity;negative regulation of astrocyte differentiation;MAPK cascade;negative regulation of cell-matrix adhesion;heart development;neural tube development;regulation of synaptic transmission, GABAergic;negative regulation of MAPK cascade;regulation of angiogenesis;negative regulation of oligodendrocyte differentiation;osteoblast differentiation;negative regulation of protein kinase activity;skeletal muscle tissue development;cerebral cortex development;regulation of Ras GTPase activity;pigmentation;negative regulation of Ras protein signal transduction;smooth muscle tissue development"
NF1P2	-
NF1P6	-
NF1P8	-
NF2	negative regulation of DNA replication;negative regulation of tyrosine phosphorylation of Stat3 protein;negative regulation of cell proliferation;negative regulation of tyrosine phosphorylation of Stat5 protein;Schwann cell proliferation;negative regulation of MAPK cascade;negative regulation of cell-cell adhesion;cell-cell junction organization;mesoderm formation;actin cytoskeleton organization;negative regulation of JAK-STAT cascade;negative regulation of cell-matrix adhesion;negative regulation of cell migration;positive regulation of stress fiber assembly;negative regulation of protein kinase activity;regulation of hippo signaling cascade;lens fiber cell differentiation;ectoderm development;odontogenesis of dentin-containing tooth
NFAM1	regulation of B cell differentiation;positive regulation of B cell receptor signaling pathway;positive regulation of cytokine production;positive regulation of sequence-specific DNA binding transcription factor activity;inflammatory response;signal transduction;cell surface receptor signaling pathway;B cell differentiation;intracellular signal transduction
NFASC	protein localization to paranode region of axon;protein localization to juxtaparanode region of axon;cell adhesion;axon guidance;peripheral nervous system development;transmission of nerve impulse;paranodal junction assembly;myelination;synapse organization
NFAT5	"regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter;signal transduction;excretion"
NFATC1	"transcription from RNA polymerase II promoter;intracellular signal transduction;positive regulation of transcription, DNA-dependent;positive regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent"
NFATC2	"response to drug;positive regulation of transcription, DNA-dependent;positive regulation of transcription from RNA polymerase II promoter;B cell receptor signaling pathway;cytokine production;regulation of transcription, DNA-dependent;response to DNA damage stimulus;positive regulation of B cell proliferation"
NFATC2IP	"cytokine production;regulation of transcription, DNA-dependent"
NFATC3	regulation of transcription from RNA polymerase II promoter;cellular response to lithium ion;transcription from RNA polymerase II promoter;inflammatory response;heart development;cellular respiration;positive regulation of transcription from RNA polymerase II promoter;smooth muscle cell differentiation;patterning of blood vessels;muscle cell development
NFATC4	transcription from RNA polymerase II promoter;inflammatory response;cell differentiation
NFE2	"multicellular organismal development;blood coagulation;hemostasis;blood circulation;nucleosome disassembly;negative regulation of bone mineralization;transcription, DNA-dependent;positive regulation of transcription, DNA-dependent;regulation of transcription from RNA polymerase II promoter;cell-cell signaling"
NFE2L1	"heme biosynthetic process;inflammatory response;anatomical structure morphogenesis;regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter"
NFE2L2	"positive regulation of transcription from RNA polymerase II promoter;regulation of embryonic development;regulation of removal of superoxide radicals;regulation of transcription, DNA-dependent;positive regulation of reactive oxygen species metabolic process;transcription from RNA polymerase II promoter;positive regulation of blood coagulation;endoplasmic reticulum unfolded protein response;cellular response to oxidative stress"
NFE2L3	"regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter"
NFE2L3P1	-
NFE4	-
NFIA	"DNA replication;regulation of transcription, DNA-dependent;viral genome replication"
NFIB	negative regulation of cell proliferation;positive regulation of transcription from RNA polymerase II promoter;glial cell differentiation;Clara cell differentiation;principal sensory nucleus of trigeminal nerve development;Type I pneumocyte differentiation;anterior commissure morphogenesis;Type II pneumocyte differentiation;negative regulation of transcription from RNA polymerase II promoter;lung development;lung ciliated cell differentiation;chondrocyte differentiation;forebrain development;commissural neuron axon guidance;DNA replication;hindbrain development;negative regulation of mesenchymal cell proliferation involved in lung development;transcription from RNA polymerase II promoter;negative regulation of DNA binding;negative regulation of epithelial cell proliferation involved in lung morphogenesis
NFIC	"negative regulation of transcription from RNA polymerase II promoter;DNA replication;regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter;positive regulation of transcription from RNA polymerase II promoter"
NFIL3	"immune response;circadian rhythm;negative regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter"
NFIX	"negative regulation of transcription from RNA polymerase II promoter;DNA replication;regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter;positive regulation of transcription from RNA polymerase II promoter"
NFKB1	"toll-like receptor signaling pathway;Toll signaling pathway;toll-like receptor 1 signaling pathway;T cell receptor signaling pathway;MyD88-dependent toll-like receptor signaling pathway;positive regulation of macrophage derived foam cell differentiation;toll-like receptor 2 signaling pathway;positive regulation of NF-kappaB transcription factor activity;MyD88-independent toll-like receptor signaling pathway;positive regulation of lipid storage;toll-like receptor 3 signaling pathway;cellular response to mechanical stimulus;transcription from RNA polymerase II promoter;negative regulation of calcidiol 1-monooxygenase activity;toll-like receptor 4 signaling pathway;cellular response to interleukin-1;apoptotic process;negative regulation of vitamin D biosynthetic process;TRIF-dependent toll-like receptor signaling pathway;positive regulation of canonical Wnt receptor signaling pathway;anti-apoptosis;membrane protein intracellular domain proteolysis;innate immune response;inflammatory response;negative regulation of cellular protein metabolic process;positive regulation of transcription, DNA-dependent;negative regulation of transcription from RNA polymerase II promoter;signal transduction;negative regulation of cholesterol transport;nerve growth factor receptor signaling pathway"
NFKB2	"MyD88-dependent toll-like receptor signaling pathway;toll-like receptor 3 signaling pathway;MyD88-independent toll-like receptor signaling pathway;toll-like receptor 4 signaling pathway;regulation of transcription, DNA-dependent;TRIF-dependent toll-like receptor signaling pathway;signal transduction;innate immune response;Toll signaling pathway;spleen development;toll-like receptor signaling pathway;extracellular matrix organization;positive regulation of NF-kappaB transcription factor activity;follicular dendritic cell differentiation;toll-like receptor 1 signaling pathway;germinal center formation;toll-like receptor 2 signaling pathway"
NFKBIA	"MyD88-dependent toll-like receptor signaling pathway;negative regulation of lipid storage;toll-like receptor 3 signaling pathway;interspecies interaction between organisms;cellular response to cold;MyD88-independent toll-like receptor signaling pathway;lipopolysaccharide-mediated signaling pathway;toll-like receptor 4 signaling pathway;innate immune response;nucleotide-binding oligomerization domain containing 1 signaling pathway;apoptotic process;negative regulation of NF-kappaB transcription factor activity;TRIF-dependent toll-like receptor signaling pathway;negative regulation of myeloid cell differentiation;nucleotide-binding oligomerization domain containing 2 signaling pathway;anti-apoptosis;positive regulation of cellular protein metabolic process;regulation of cell proliferation;negative regulation of Notch signaling pathway;cytoplasmic sequestering of NF-kappaB;response to muramyl dipeptide;regulation of NF-kappaB import into nucleus;positive regulation of transcription from RNA polymerase II promoter;Toll signaling pathway;response to lipopolysaccharide;cytoplasmic sequestering of transcription factor;nerve growth factor receptor signaling pathway;protein import into nucleus, translocation;negative regulation of macrophage derived foam cell differentiation;toll-like receptor 1 signaling pathway;response to exogenous dsRNA;T cell receptor signaling pathway;toll-like receptor signaling pathway;positive regulation of cholesterol efflux;toll-like receptor 2 signaling pathway;negative regulation of DNA binding;positive regulation of NF-kappaB transcription factor activity"
NFKBIB	"cytoplasmic sequestering of NF-kappaB;positive regulation of NF-kappaB transcription factor activity;Toll signaling pathway;toll-like receptor 1 signaling pathway;toll-like receptor signaling pathway;toll-like receptor 2 signaling pathway;MyD88-dependent toll-like receptor signaling pathway;toll-like receptor 3 signaling pathway;MyD88-independent toll-like receptor signaling pathway;toll-like receptor 4 signaling pathway;transcription, DNA-dependent;TRIF-dependent toll-like receptor signaling pathway;signal transduction;innate immune response"
NFKBID	positive regulation of thymocyte apoptosis;inflammatory response;negative regulation of NF-kappaB transcription factor activity;negative regulation of T cell differentiation in thymus;negative regulation of I-kappaB kinase/NF-kappaB cascade
NFKBIE	D-serine transport;cytoplasmic sequestering of transcription factor
NFKBIL1	cytoplasmic sequestering of transcription factor
NFKBIZ	"regulation of transcription, DNA-dependent;inflammatory response"
NFRKB	"DNA repair;DNA recombination;regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter;inflammatory response"
NFS1	vitamin metabolic process;water-soluble vitamin metabolic process;Mo-molybdopterin cofactor biosynthetic process;iron incorporation into metallo-sulfur cluster;molybdopterin cofactor biosynthetic process;sulfur amino acid metabolic process;small molecule metabolic process;protein complex assembly;cysteine metabolic process
NFU1	iron-sulfur cluster assembly
NFX1	interspecies interaction between organisms;negative regulation of MHC class II biosynthetic process;negative regulation of transcription from RNA polymerase II promoter;transcription from RNA polymerase II promoter;inflammatory response
NFXL1	-
NFYA	"regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter;positive regulation of transcription from RNA polymerase II promoter"
NFYAP1	-
NFYB	"regulation of transcription, DNA-dependent;positive regulation of transcription, DNA-dependent"
NFYC	"regulation of transcription from RNA polymerase II promoter;protein folding;positive regulation of transcription, DNA-dependent;regulation of transcription, DNA-dependent"
NFYC-AS1	-
NGDN	regulation of translation
NGEF	apoptotic process;regulation of GTPase activity;small GTPase mediated signal transduction;nerve growth factor receptor signaling pathway;multicellular organismal development;ephrin receptor signaling pathway;nervous system development;regulation of small GTPase mediated signal transduction;induction of apoptosis by extracellular signals;negative regulation of dendritic spine morphogenesis;cellular process;cell differentiation;regulation of Rho protein signal transduction
NGF	transmembrane receptor protein tyrosine kinase signaling pathway;induction of apoptosis by extracellular signals;response to lipopolysaccharide;regulation of neurotransmitter secretion;response to electrical stimulus;activation of phospholipase C activity;response to radiation;response to nicotine;nerve growth factor receptor signaling pathway;small GTPase mediated signal transduction;response to mechanical stimulus;response to drug;phosphatidylinositol-mediated signaling;activation of MAPKK activity;Ras protein signal transduction;positive regulation of gene expression;response to peptide hormone stimulus;regulation of axonogenesis;apoptotic process;peripheral nervous system development;sensory perception of pain;negative regulation of neuron apoptosis;positive regulation of axonogenesis;anti-apoptosis;memory;neuron projection development;regulation of neuron differentiation;positive regulation of sequence-specific DNA binding transcription factor activity;inflammatory response;positive regulation of cell proliferation;positive regulation of protein autophosphorylation;positive regulation of axon extension;response to glucocorticoid stimulus;signal transduction;adult locomotory behavior;nerve growth factor processing;negative regulation of cell cycle;positive regulation of nerve growth factor receptor signaling pathway
NGFR	regulation of gene expression;skin development;negative regulation of hair follicle development;apoptotic process;detection of temperature stimulus;negative regulation of cell cycle;anti-apoptosis;nerve development;nerve growth factor receptor signaling pathway;multicellular organismal development;cell differentiation;positive regulation of fibroblast proliferation;axon guidance;hair follicle morphogenesis;negative regulation of muscle organ development;central nervous system development;membrane protein intracellular domain proteolysis;regulation of axonogenesis;induction of apoptosis by extracellular signals;negative regulation of fibroblast growth factor receptor signaling pathway;negative regulation of axonogenesis;response to wounding;positive regulation of odontogenesis of dentin-containing tooth;positive regulation of axonogenesis
NGFRAP1	induction of apoptosis by extracellular signals;induction of apoptosis via death domain receptors;regulation of cysteine-type endopeptidase activity involved in apoptotic process;nerve growth factor receptor signaling pathway;apoptotic process;multicellular organismal development
NGLY1	glycoprotein catabolic process
NGRN	multicellular organismal development;nervous system development;neuron differentiation
NHEG1	-
NHEJ1	response to ionizing radiation;B cell differentiation;T cell differentiation;positive regulation of ligase activity;double-strand break repair via nonhomologous end joining;DNA recombination;central nervous system development
NHLRC1	protein polyubiquitination;positive regulation of protein ubiquitination;proteasomal ubiquitin-dependent protein catabolic process
NHLRC2	-
NHLRC3	-
NHLRC4	-
NHP2	rRNA processing;rRNA pseudouridine synthesis
NHP2P2	-
NHS	lens development in camera-type eye;cell differentiation
NHSL1	-
NHSL2	-
NICN1	-
NID1	cell adhesion;cell-matrix adhesion;positive regulation of cell-substrate adhesion;glomerular basement membrane development
NID2	cell adhesion;cell-matrix adhesion
NIF3L1	"positive regulation of transcription, DNA-dependent"
NIFK	rRNA transcription;negative regulation of phosphatase activity;rRNA metabolic process;protein complex assembly
NIFK-AS1	-
NIM1K	-
NIN	microtubule anchoring at centrosome;centrosome localization;centrosome-templated microtubule nucleation
NINJ1	cell adhesion;nervous system development;tissue regeneration
NINJ2	cell adhesion;neuron cell-cell adhesion;nervous system development;tissue regeneration
NINL	G2/M transition of mitotic cell cycle;mitotic cell cycle
NIP7	ribosome assembly
NIP7P2	-
NIP7P3	-
NIPA1	ion transport;cell death;magnesium ion transport
NIPA2	ion transport;magnesium ion transport
NIPAL2	-
NIPAL3	-
NIPAL4	ion transport;magnesium ion transport
NIPBL	"brain development;positive regulation of multicellular organism growth;developmental growth;cellular response to X-ray;negative regulation of transcription from RNA polymerase II promoter;sensory perception of sound;ear morphogenesis;eye morphogenesis;metanephros development;positive regulation of histone deacetylation;regulation of hair cycle;regulation of developmental growth;heart morphogenesis;maintenance of mitotic sister chromatid cohesion;fat cell differentiation;embryonic viscerocranium morphogenesis;outflow tract morphogenesis;cellular protein localization;positive regulation of ossification;cognition;response to DNA damage stimulus;embryonic arm morphogenesis;negative regulation of transcription, DNA-dependent;face morphogenesis;cell cycle;arm morphogenesis;regulation of embryonic development;gall bladder development;mitotic sister chromatid cohesion;external genitalia morphogenesis;embryonic digestive tract morphogenesis;uterus morphogenesis"
NIPBL-AS1	-
NIPSNAP1	-
NIPSNAP3A	-
NIPSNAP3B	-
NISCH	"regulation of blood pressure;Rac protein signal transduction;actin cytoskeleton organization;negative regulation of cell migration;regulation of synaptic transmission, GABAergic;glucose metabolic process;norepinephrine secretion;apoptotic process;cell communication"
NIT1	nitrogen compound metabolic process
NIT2	nitrogen compound metabolic process
NKAIN1	-
NKAIN2	-
NKAIN3	-
NKAIN4	-
NKAP	"Notch signaling pathway;negative regulation of transcription, DNA-dependent;positive regulation of alpha-beta T cell differentiation"
NKAPP1	-
NKD1	Wnt receptor signaling pathway
NKD2	transport;exocytosis;Wnt receptor signaling pathway
NKG7	-
NKIRAS1	GTP catabolic process;signal transduction;I-kappaB kinase/NF-kappaB cascade;small GTPase mediated signal transduction
NKIRAS2	I-kappaB kinase/NF-kappaB cascade;small GTPase mediated signal transduction;GTP catabolic process;signal transduction
NKPD1	-
NKRF	"negative regulation of transcription, DNA-dependent"
NKTR	protein folding
NKX1-2	multicellular organismal development
NKX2-1	"endoderm development;hippocampus development;negative regulation of transforming growth factor beta receptor signaling pathway;response to ethanol;Clara cell differentiation;negative regulation of transcription from RNA polymerase II promoter;locomotory behavior;cerebral cortex cell migration;thyroid gland development;positive regulation of transcription, DNA-dependent;Type II pneumocyte differentiation;neuron migration;feeding behavior;forebrain dorsal/ventral pattern formation;forebrain development;positive regulation of transcription from RNA polymerase II promoter;regulation of blood volume by renin-angiotensin;response to hormone stimulus;forebrain neuron fate commitment;developmental induction;development of primary female sexual characteristics;phospholipid metabolic process;organ morphogenesis;cerebral cortex GABAergic interneuron differentiation;response to lipopolysaccharide;anatomical structure formation involved in morphogenesis;pattern specification process;positive regulation of gene expression;pituitary gland development;Leydig cell differentiation;oligodendrocyte differentiation;axon guidance;negative regulation of epithelial to mesenchymal transition;lung development;hyperosmotic salinity response;lung saccule development;brain development;globus pallidus development;negative regulation of cell migration;menarche;epithelial tube branching involved in lung morphogenesis"
NKX2-1-AS1	-
NKX2-2	brain development;digestive tract development;type B pancreatic cell development;oligodendrocyte development;neuron fate specification;pancreatic A cell fate commitment;spinal cord motor neuron differentiation;astrocyte differentiation;type B pancreatic cell fate commitment;spinal cord oligodendrocyte cell fate specification;positive regulation of oligodendrocyte differentiation;pancreatic PP cell fate commitment;endocrine pancreas development;positive regulation of sequence-specific DNA binding transcription factor activity;smoothened signaling pathway;negative regulation of neuron differentiation;ventral spinal cord interneuron fate determination;multicellular organismal development;positive regulation of neuron differentiation;nervous system development;positive regulation of transcription from RNA polymerase II promoter
NKX2-3	"gland morphogenesis;spleen development;B cell differentiation;Peyer's patch development;macrophage differentiation;digestive tract development;leukocyte homeostasis;regulation of cell proliferation;post-embryonic digestive tract morphogenesis;plasma cell differentiation;odontogenesis of dentin-containing tooth;leukocyte migration;triglyceride metabolic process;CD4-positive, alpha-beta T cell differentiation;immune response;positive regulation of transcription from RNA polymerase II promoter;post-embryonic development;lymph node development"
NKX2-4	multicellular organismal development
NKX2-5	"outflow tract septum morphogenesis;apoptosis involved in heart morphogenesis;positive regulation of transcription via serum response element binding;embryonic heart tube development;positive regulation of transcription from RNA polymerase II promoter;ventricular cardiac muscle cell development;atrioventricular node cell development;cardiac conduction system development;septum secundum development;positive regulation of sodium ion transport;negative regulation of apoptotic process;spleen development;regulation of cardiac muscle contraction;atrioventricular node cell fate commitment;atrioventricular node development;proepicardium development;negative regulation of myotube differentiation;sarcomere organization;positive regulation of cardioblast differentiation;pharyngeal system development;embryonic heart tube left/right pattern formation;bundle of His development;pulmonary myocardium development;hemopoiesis;positive regulation of neuron differentiation;positive regulation of calcium ion transport via voltage-gated calcium channel activity;regulation of cardiac muscle cell proliferation;negative regulation of canonical Wnt receptor signaling pathway;negative regulation of transcription from RNA polymerase II promoter;cardiac Purkinje fiber cell differentiation;multicellular organismal development;cell differentiation;positive regulation of heart contraction;ventricular cardiac myofibril development;positive regulation of transcription initiation from RNA polymerase II promoter;vasculogenesis;cardiac ventricle formation;adult heart development;BMP signaling pathway;positive regulation of survival gene product expression;cardiac muscle cell differentiation;heart trabecula formation;heart looping;right ventricular cardiac muscle tissue morphogenesis;positive regulation of cell proliferation;thyroid gland development;negative regulation of transcription, DNA-dependent;cardiac muscle tissue morphogenesis;ventricular septum morphogenesis;heart morphogenesis;ventricular trabecula myocardium morphogenesis;negative regulation of cardiac muscle cell apoptosis;response to estradiol stimulus;positive regulation of transcription, DNA-dependent;atrial cardiac muscle cell development;atrial septum morphogenesis"
NKX2-8	"lung development;negative regulation of epithelial cell proliferation;liver development;transcription, DNA-dependent;regulation of transcription, DNA-dependent;transcription from RNA polymerase II promoter;multicellular organismal development;axonogenesis"
NKX3-1	"regulation of transcription, DNA-dependent;positive regulation of gene expression;protein kinase B signaling cascade;negative regulation of epithelial cell proliferation;cellular response to steroid hormone stimulus;activation of cysteine-type endopeptidase activity involved in apoptotic process;negative regulation of gene expression;negative regulation of insulin-like growth factor receptor signaling pathway;positive regulation of cell division;cellular response to hypoxia;multicellular organismal development;positive regulation of cell death;negative regulation of transcription, DNA-dependent;pharyngeal system development;mitotic cell cycle arrest;salivary gland development;positive regulation of phosphatidylinositol 3-kinase cascade;positive regulation of transcription, DNA-dependent;branching involved in prostate gland morphogenesis;negative regulation of estrogen receptor binding;heart development;androgen receptor signaling pathway;negative regulation of mitotic cell cycle;epithelial cell proliferation involved in salivary gland morphogenesis;positive regulation of induction of apoptosis in response to chemical stimulus;positive regulation of cell proliferation;response to testosterone stimulus;positive regulation of mitotic cell cycle;negative regulation of epithelial cell proliferation involved in prostate gland development;positive regulation of androgen secretion;somitogenesis;negative regulation of cell proliferation;cellular response to drug;positive regulation of transcription from RNA polymerase II promoter;cellular response to interleukin-1;positive regulation of response to DNA damage stimulus;positive regulation of protein phosphorylation;activation of pro-apoptotic gene products;positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;branching morphogenesis of a tube;cellular response to tumor necrosis factor"
NKX3-2	negative regulation of chondrocyte differentiation;intestinal epithelial cell development;middle ear morphogenesis;negative regulation of apoptotic process;spleen development;skeletal system development;organ formation;transcription from RNA polymerase II promoter;skeletal system morphogenesis;determination of left/right symmetry;embryonic skeletal system development;pancreas development;digestive system development
NKX6-1	smoothened signaling pathway;endocrine pancreas development;oligodendrocyte differentiation;multicellular organismal development;positive regulation of insulin secretion;positive regulation of sequence-specific DNA binding transcription factor activity;cell proliferation;response to nicotine;detection of glucose;organ morphogenesis;response to drug;cellular response to cytokine stimulus;regulation of transcription from RNA polymerase II promoter involved in spinal cord motor neuron fate specification;positive regulation of neuron differentiation;cellular response to peptide hormone stimulus;regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification;negative regulation of glial cell differentiation;type B pancreatic cell maturation;neurogenesis;positive regulation of glial cell differentiation;positive regulation of type B pancreatic cell development;negative regulation of transcription from RNA polymerase II promoter;pancreas development;positive regulation of transcription from RNA polymerase II promoter
NKX6-2	"regulation of transcription, DNA-dependent;endocrine pancreas development;multicellular organismal development;negative regulation of glial cell differentiation;negative regulation of cell fate commitment;positive regulation of glial cell differentiation;positive regulation of cell fate commitment;oligodendrocyte differentiation;regulation of transcription from RNA polymerase II promoter involved in spinal cord motor neuron fate specification;neuromuscular process controlling balance;regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification;central nervous system myelination;negative regulation of transcription from RNA polymerase II promoter;cell differentiation"
NKX6-3	-
NLE1	inner cell mass cell differentiation;Notch signaling pathway
NLGN1	"positive regulation of intracellular protein kinase cascade;protein heterotetramerization;neurexin clustering;regulation of respiratory gaseous exchange by neurological system process;synaptic vesicle targeting;positive regulation of synapse assembly;postsynaptic density protein 95 clustering;protein targeting;calcium-dependent cell-cell adhesion;positive regulation of synaptic transmission, glutamatergic;receptor localization to synapse;cell adhesion;neuronal signal transduction;positive regulation of dendritic spine development;regulation of N-methyl-D-aspartate selective glutamate receptor activity;heterophilic cell-cell adhesion;establishment of protein localization;synaptic vesicle clustering;regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity;neuron cell-cell adhesion;regulation of neuron differentiation;postsynaptic membrane assembly;positive regulation of excitatory postsynaptic membrane potential;nervous system development;regulation of synaptic transmission;presynaptic membrane assembly;synapse assembly;protein homooligomerization;alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate receptor clustering"
NLGN1-AS1	-
NLGN2	"locomotory exploration behavior;presynaptic membrane assembly;regulation of respiratory gaseous exchange by neurological system process;cell-cell junction maintenance;gephyrin clustering;neuron cell-cell adhesion;regulation of synaptic transmission;postsynaptic density protein 95 clustering;synapse assembly;neuromuscular process controlling balance;positive regulation of inhibitory postsynaptic membrane potential;cell-cell adhesion;positive regulation of synapse assembly;regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity;sensory perception of pain;positive regulation of synaptic transmission, glutamatergic;positive regulation of excitatory postsynaptic membrane potential;positive regulation of synaptic transmission, GABAergic;terminal button organization;protein localization to synapse;postsynaptic membrane assembly"
NLGN3	social behavior;axon extension;regulation of respiratory gaseous exchange by neurological system process;synapse organization;receptor-mediated endocytosis;positive regulation of synapse assembly;cell adhesion;rhythmic synaptic transmission;neuron cell-cell adhesion;regulation of inhibitory postsynaptic membrane potential;synapse assembly;presynaptic membrane assembly;visual learning
NLGN4X	social behavior;cell-cell junction organization;positive regulation of organ growth;synapse organization;vocalization behavior;brainstem development;negative regulation of excitatory postsynaptic membrane potential;cell adhesion;presynaptic membrane assembly;cerebellum development
NLGN4Y	cell adhesion;synapse assembly
